iter	Passed	Remaining
248	1997	6023
249	2005	6016
250	2011	6002
251	2017	5988
252	2024	5976
253	2029	5961
254	2038	5956
255	2051	5963
256	2057	5947
257	2062	5931
258	2068	5917
259	2074	5904
260	2080	5891
261	2087	5879
262	2092	5865
263	2098	5851
264	2104	5837
265	2109	5821
266	2117	5812
267	2122	5797
268	2128	5783
269	2135	5774
270	2141	5760
271	2146	5745
272	2152	5731
273	2158	5719
274	2164	5707
275	2171	5695
276	2176	5681
277	2183	5670
278	2189	5657
279	2195	5645
280	2201	5633
281	2207	5620
282	2214	5611
283	2220	5599
284	2226	5586
285	2233	5574
286	2238	5561
287	2242	5545
288	2248	5530
289	2254	5519
290	2260	5506
291	2267	5497
292	2272	5484
293	2294	5510
294	2301	5499
295	2307	5488
296	2314	5478
297	2319	5465
298	2326	5454
299	2332	5442
300	2338	5431
301	2344	5419
302	2351	5410
303	2358	5400
304	2364	5388
305	2371	5379
306	2377	5367
307	2383	5354
308	2389	5343
309	2396	5335
310	2402	5322
311	2410	5316
312	2416	5303
313	2422	5292
314	2431	5288
315	2438	5277
316	2444	5265
317	2449	5254
318	2458	5248
319	2464	5237
320	2471	5226
321	2479	5220
322	2485	5208
323	2492	5199
324	2498	5189
325	2504	5178
326	2510	5167
327	2517	5158
328	2526	5151
329	2531	5140
330	2539	5133
331	2546	5124
332	2554	5115
333	2559	5104
334	2567	5096
335	2573	5085
336	2579	5074
337	2587	5067
338	2593	5057
339	2600	5048
340	2607	5039
341	2613	5028
342	2619	5017
343	2624	5005
344	2631	4996
345	2637	4985
346	2643	4974
347	2652	4970
348	2658	4958
349	2667	4953
350	2673	4942
351	2680	4934
352	2688	4927
353	2692	4912
354	2698	4903
355	2705	4894
356	2713	4887
357	2718	4874
358	2723	4863
359	2730	4853
360	2735	4841
361	2747	4841
362	2753	4831
363	2759	4821
364	2764	4809
365	2770	4798
366	2776	4788
367	2782	4778
368	2789	4769
369	2795	4760
370	2800	4747
371	2806	4738
372	2813	4729
373	2820	4720
374	2828	4714
375	2835	4705
376	2841	4696
377	2847	4684
378	2853	4675
379	2859	4665
380	2864	4653
381	2870	4643
382	2876	4633
383	2883	4625
384	2889	4616
385	2895	4605
386	2903	4599
387	2909	4588
388	2915	4579
389	2923	4573
390	2930	4563
391	2936	4554
392	2942	4544
393	2947	4534
394	2956	4528
395	2962	4518
396	2970	4512
397	2992	4525
398	2997	4515
399	3004	4506
400	3012	4499
401	3018	4489
402	3024	4480
403	3030	4471
404	3037	4462
405	3043	4452
406	3050	4444
407	3057	4436
408	3062	4425
409	3069	4416
410	3076	4409
411	3083	4400
412	3089	4390
413	3106	4396
414	3111	4386
415	3119	4378
416	3124	4368
417	3131	4360
418	3136	4349
419	3142	4340
420	3149	4331
421	3155	4322
422	3161	4312
423	3168	4304
424	3174	4294
425	3180	4285
426	3186	4275
427	3193	4268
428	3199	4258
429	3205	4249
430	3211	4239
431	3226	4242
432	3233	4234
433	3240	4225
434	3246	4216
435	3251	4206
436	3256	4195
437	3262	4186
438	3267	4175
439	3272	4165
440	3282	4160
441	3288	4151
442	3296	4144
443	3302	4136
444	3310	4128
445	3317	4121
446	3323	4111
447	3331	4105
448	3339	4097
449	3351	4096
450	3357	4087
451	3364	4078
452	3369	4068
453	3375	4059
454	3381	4050
455	3387	4041
456	3393	4032
457	3399	4023
458	3407	4016
459	3413	4007
460	3418	3997
461	3426	3989
462	3432	3980
463	3438	3972
464	3445	3964
465	3451	3954
466	3458	3946
467	3464	3937
468	3472	3930
469	3478	3922
470	3485	3914
471	3491	3905
472	3496	3896
473	3503	3888
474	3509	3878
475	3514	3869
476	3520	3860
477	3527	3852
478	3535	3845
479	3541	3836
480	3545	3825
481	3550	3815
482	3556	3806
483	3561	3796
484	3566	3786
485	3571	3777
486	3576	3767
487	3581	3757
488	3585	3747
489	3591	3738
490	3597	3729
491	3602	3719
492	3610	3712
493	3616	3704
494	3622	3695
495	3629	3687
496	3635	3679
497	3641	3670
498	3647	3662
499	3653	3653
500	3658	3644
501	3666	3637
502	3672	3628
503	3678	3620
504	3684	3611
505	3690	3603
506	3698	3596
507	3705	3588
508	3712	3580
509	3718	3572
510	3724	3563
511	3730	3556
512	3736	3547
513	3742	3538
514	3748	3530
515	3755	3522
516	3761	3513
517	3767	3505
518	3772	3496
519	3778	3487
520	3785	3480
521	3791	3471
522	3797	3463
523	3805	3457
524	3814	3451
525	3822	3444
526	3830	3438
527	3836	3429
528	3844	3422
529	3850	3414
530	3857	3406
531	3864	3399
532	3872	3393
533	3878	3384
534	3883	3375
535	3889	3367
536	3894	3357
537	3900	3349
538	3907	3342
539	3913	3333
540	3920	3326
541	3927	3319
542	3934	3311
543	3941	3303
544	3949	3297
545	3956	3290
546	3963	3282
547	3969	3274
548	3975	3266
549	3981	3257
550	3990	3251
551	3996	3243
552	4003	3236
553	4010	3228
554	4016	3220
555	4023	3212
556	4029	3205
557	4036	3197
558	4046	3192
559	4054	3185
560	4060	3177
561	4065	3168
562	4071	3160
563	4079	3153
564	4086	3146
565	4093	3138
566	4099	3130
567	4105	3122
568	4110	3113
569	4117	3105
570	4122	3097
571	4127	3088
572	4152	3094
573	4158	3086
574	4164	3078
575	4170	3070
576	4176	3061
577	4185	3055
578	4190	3047
579	4200	3041
580	4206	3033
581	4211	3024
582	4219	3017
583	4224	3009
584	4231	3001
585	4236	2993
586	4242	2984
587	4249	2977
588	4255	2969
589	4263	2962
590	4268	2953
591	4273	2945
592	4280	2937
593	4286	2929
594	4291	2921
595	4297	2913
596	4304	2905
597	4310	2897
598	4317	2890
599	4322	2881
600	4328	2873
601	4333	2865
602	4338	2856
603	4345	2848
604	4355	2843
605	4362	2836
606	4368	2828
607	4375	2821
608	4380	2812
609	4386	2804
610	4392	2796
611	4399	2789
612	4405	2781
613	4423	2780
614	4428	2772
615	4434	2764
616	4440	2756
617	4446	2748
618	4457	2743
619	4463	2735
620	4469	2727
621	4476	2720
622	4481	2712
623	4489	2704
624	4494	2696
625	4499	2688
626	4506	2680
627	4513	2673
628	4520	2666
629	4525	2657
630	4531	2649
631	4538	2642
632	4543	2634
633	4552	2627
634	4557	2619
635	4563	2611
636	4569	2604
637	4574	2595
638	4580	2587
639	4585	2579
640	4591	2571
641	4596	2563
642	4602	2555
643	4608	2547
644	4614	2539
645	4620	2531
646	4625	2523
647	4632	2516
648	4638	2508
649	4642	2500
650	4651	2493
651	4657	2485
652	4665	2479
653	4673	2472
654	4678	2464
655	4684	2456
656	4690	2448
657	4696	2440
658	4703	2433
659	4712	2427
660	4718	2419
661	4724	2412
662	4731	2404
663	4737	2397
664	4743	2389
665	4759	2386
666	4774	2383
667	4781	2376
668	4786	2368
669	4793	2360
670	4799	2353
671	4805	2345
672	4810	2337
673	4815	2329
674	4820	2320
675	4827	2313
676	4833	2306
677	4839	2298
678	4845	2290
679	4851	2283
680	4858	2275
681	4864	2268
682	4869	2260
683	4876	2253
684	4883	2245
685	4890	2238
686	4896	2230
687	4902	2223
688	4908	2215
689	4915	2208
690	4922	2201
691	4927	2193
692	4934	2185
693	4941	2178
694	4946	2170
695	4954	2163
696	4959	2156
697	4965	2148
698	4972	2141
699	4977	2133
700	4983	2125
701	4992	2119
702	4997	2111
703	5004	2104
704	5010	2096
705	5015	2088
706	5021	2081
707	5027	2073
708	5032	2065
709	5038	2057
710	5042	2049
711	5048	2042
712	5054	2034
713	5063	2028
714	5071	2021
715	5077	2014
716	5087	2008
717	5096	2001
718	5106	1995
719	5115	1989
720	5125	1983
721	5135	1977
722	5146	1971
723	5155	1965
724	5166	1959
725	5177	1954
726	5184	1946
727	5194	1940
728	5201	1933
729	5206	1925
730	5213	1918
731	5220	1911
732	5226	1903
733	5237	1897
734	5245	1891
735	5252	1884
736	5259	1876
737	5265	1869
738	5273	1862
739	5279	1854
740	5288	1848
741	5295	1841
742	5302	1834
743	5308	1826
744	5313	1818
745	5320	1811
746	5326	1804
747	5332	1796
748	5339	1789
749	5344	1781
750	5350	1774
751	5357	1766
752	5363	1759
753	5369	1751
754	5375	1744
755	5381	1736
756	5389	1730
757	5395	1722
758	5401	1714
759	5407	1707
760	5412	1699
761	5419	1692
762	5424	1685
763	5431	1677
764	5439	1670
765	5446	1663
766	5452	1656
767	5459	1649
768	5465	1641
769	5471	1634
770	5478	1627
771	5484	1619
772	5490	1612
773	5496	1604
774	5505	1598
775	5510	1590
776	5516	1583
777	5522	1575
778	5528	1568
779	5533	1560
780	5540	1553
781	5551	1547
782	5557	1540
783	5563	1532
784	5569	1525
785	5576	1518
786	5586	1512
787	5593	1504
788	5600	1497
789	5608	1490
790	5616	1484
791	5624	1477
792	5632	1470
793	5644	1464
794	5655	1458
795	5664	1451
796	5680	1446
797	5686	1439
798	5693	1432
799	5701	1425
800	5708	1418
801	5714	1410
802	5720	1403
803	5726	1395
804	5733	1388
805	5738	1381
806	5745	1374
807	5751	1366
808	5757	1359
809	5763	1351
810	5768	1344
811	5774	1337
812	5780	1329
813	5785	1322
814	5792	1314
815	5798	1307
816	5804	1300
817	5811	1293
818	5817	1285
819	5823	1278
820	5831	1271
821	5838	1264
822	5846	1257
823	5852	1250
824	5861	1243
825	5867	1235
826	5875	1229
827	5881	1221
828	5887	1214
829	5910	1210
830	5916	1203
831	5923	1196
832	5928	1188
833	5934	1181
834	5942	1174
835	5949	1167
836	5957	1160
837	5963	1152
838	5969	1145
839	5976	1138
840	5982	1131
841	5990	1124
842	5997	1117
843	6004	1109
844	6010	1102
845	6015	1095
846	6023	1088
847	6028	1080
848	6034	1073
849	6040	1065
850	6045	1058
851	6050	1051
852	6068	1045
853	6076	1038
854	6082	1031
855	6088	1024
856	6094	1016
857	6108	1010
858	6114	1003
859	6121	996
860	6127	989
861	6137	982
862	6143	975
863	6149	967
864	6159	961
865	6170	954
866	6176	947
867	6182	940
868	6188	932
869	6195	925
870	6212	920
871	6218	912
872	6224	905
873	6231	898
874	6238	891
875	6244	883
876	6251	876
877	6256	869
878	6264	862
879	6270	855
880	6276	847
881	6282	840
882	6288	833
883	6297	826
884	6303	819
885	6309	811
886	6315	804
887	6320	797
888	6328	790
889	6334	782
890	6340	775
891	6346	768
892	6352	761
893	6358	753
894	6365	746
895	6370	739
896	6377	732
897	6382	725
898	6388	717
899	6394	710
900	6400	703
901	6407	696
902	6413	688
903	6418	681
904	6426	674
905	6432	667
906	6438	660
907	6445	653
908	6451	645
909	6457	638
910	6463	631
911	6469	624
912	6474	617
913	6481	609
914	6487	602
915	6493	595
916	6499	588
917	6506	581
918	6514	574
919	6520	567
920	6526	559
921	6534	552
922	6540	545
923	6546	538
924	6553	531
925	6559	524
926	6566	517
927	6572	509
928	6578	502
929	6584	495
930	6590	488
931	6595	481
932	6601	474
933	6607	466
934	6613	459
935	6619	452
936	6627	445
937	6636	438
938	6642	431
939	6648	424
940	6654	417
941	6660	410
942	6667	403
943	6685	396
944	6690	389
945	6697	382
946	6702	375
947	6708	367
948	6714	360
949	6720	353
950	6741	347
951	6748	340
952	6753	333
953	6760	325
954	6767	318
955	6774	311
956	6780	304
957	6786	297
958	6791	290
959	6797	283
960	6802	276
961	6807	268
962	6812	261
963	6817	254
964	6823	247
965	6829	240
966	6835	233
967	6841	226
968	6852	219
969	6858	212
970	6864	205
971	6871	197
972	6878	190
973	6883	183
974	6889	176
975	6894	169
976	6908	162
977	6914	155
978	6918	148
979	6925	141
980	6930	134
981	6935	127
982	6941	120
983	6946	112
984	6953	105
985	6960	98
986	6965	91
987	6972	84
988	6978	77
989	6985	70
990	6991	63
991	6997	56
992	7005	49
993	7010	42
994	7015	35
995	7034	28
996	7040	21
997	7045	14
998	7054	7
999	7060	0
