iter	Logloss
0	0.6786059825
1	0.6647638006
2	0.651752959
3	0.6398550041
4	0.6280931878
5	0.6174687412
6	0.6070084818
7	0.5975362657
8	0.5891221257
9	0.5812172046
10	0.5728080365
11	0.5648510427
12	0.557306713
13	0.5505726785
14	0.5437414638
15	0.5374578556
16	0.531781047
17	0.5271748154
18	0.5217402455
19	0.5173067657
20	0.5132340371
21	0.5085208033
22	0.5037533665
23	0.4997825802
24	0.4954968923
25	0.4919160037
26	0.4881394455
27	0.4850559915
28	0.4813060907
29	0.4781014574
30	0.4750998785
31	0.4721589714
32	0.4693458222
33	0.4664084591
34	0.463630069
35	0.4613265226
36	0.4588441717
37	0.4565533967
38	0.4547614849
39	0.452839851
40	0.4512164802
41	0.4492290556
42	0.4475591538
43	0.4459265519
44	0.4446600139
45	0.443061632
46	0.4414076475
47	0.4399954014
48	0.4385826059
49	0.4374524624
50	0.4358186074
51	0.4343897096
52	0.4331150708
53	0.4321135586
54	0.4308319729
55	0.4296635951
56	0.4284245103
57	0.4274261363
58	0.4263833151
59	0.4254256131
60	0.4244558116
61	0.4234383618
62	0.4224244939
63	0.4213710346
64	0.4206302458
65	0.4197207766
66	0.4189433671
67	0.4181720834
68	0.4172000055
69	0.4165427004
70	0.4158588568
71	0.415135266
72	0.4144259615
73	0.4138135128
74	0.4133066302
75	0.4127120597
76	0.4121174645
77	0.4115323908
78	0.4109857606
79	0.4103789351
80	0.4097751304
81	0.4091684201
82	0.4085965227
83	0.4080531322
84	0.4075244367
85	0.407115234
86	0.406682776
87	0.40628287
88	0.405704011
89	0.4053028854
90	0.4048257091
91	0.404337722
92	0.4039149149
93	0.4035246669
94	0.4031103522
95	0.4026298925
96	0.4021319583
97	0.4016676863
98	0.4013222554
99	0.4009909649
100	0.4005530618
101	0.4001754816
102	0.3999309546
103	0.3995778387
104	0.3992529955
105	0.3988532258
106	0.3984722211
107	0.3981343055
108	0.3977287101
109	0.3973014985
110	0.3969672072
111	0.396684976
112	0.3963626113
113	0.3960973832
114	0.3957443643
115	0.3954031349
116	0.395044163
117	0.3947619308
118	0.394476951
119	0.3942138986
120	0.3939365417
121	0.393570021
122	0.3931477111
123	0.3928753105
124	0.3925252065
125	0.3922106582
126	0.3918838828
127	0.3916454196
128	0.3914693499
129	0.3911802878
130	0.3908621172
131	0.3905791605
132	0.390378847
133	0.3901693004
134	0.3899992399
135	0.3896999375
136	0.3895349306
137	0.3893294721
138	0.3890362798
139	0.3887642214
140	0.3885887745
141	0.3884778275
142	0.3883416857
143	0.3881110843
144	0.3878755647
145	0.3875694252
146	0.3872566182
147	0.3870305535
148	0.3868256383
149	0.3865498253
150	0.3862807203
151	0.3861196969
152	0.3859301657
153	0.3855629995
154	0.3852368217
155	0.385009902
156	0.3848332599
157	0.384675168
158	0.3844943864
159	0.3843014766
160	0.3839897178
161	0.3837378778
162	0.3834914674
163	0.3832655445
164	0.3831217318
165	0.3828536055
166	0.3826272089
167	0.3824647433
168	0.38226003
169	0.3821322636
170	0.3818921972
171	0.3816950335
172	0.3814979815
173	0.3813045713
174	0.3808951512
175	0.3806800191
176	0.3805610934
177	0.3803109346
178	0.3801519067
179	0.3799083352
180	0.3797269803
181	0.3795715483
182	0.3793364865
183	0.3791797564
184	0.3789751558
185	0.3788194668
186	0.3786794519
187	0.3784707841
188	0.3784419007
189	0.3783264049
190	0.378173024
191	0.3780194873
192	0.3778387847
193	0.3776614854
194	0.3775276412
195	0.3772123836
196	0.3771296115
197	0.376865802
198	0.3766914293
199	0.376512934
200	0.3763322533
201	0.3761412737
202	0.376017232
203	0.3758580384
204	0.3756803422
205	0.3754393042
206	0.3752680758
207	0.3751065348
208	0.3750078822
209	0.3745952925
210	0.3745562041
211	0.3744245661
212	0.3742443622
213	0.3741326974
214	0.3740427509
215	0.3738402451
216	0.3737433969
217	0.3735930797
218	0.37349857
219	0.3733107005
220	0.3731186869
221	0.3729149333
222	0.3727689583
223	0.3726636339
224	0.3724479167
225	0.3722894319
226	0.3721468195
227	0.3720065064
228	0.3717911296
229	0.3716721453
230	0.3715795657
231	0.3713654521
232	0.3712591507
233	0.3711055364
234	0.3710042805
235	0.3708670148
236	0.3707599873
237	0.3706200426
238	0.3704114212
239	0.3702786846
240	0.3701801854
241	0.3700860052
242	0.3699861487
243	0.3698563676
244	0.3697446279
245	0.3694267131
246	0.3692972202
247	0.3691445703
248	0.3690310177
249	0.3688106968
250	0.3687188502
251	0.3685258644
252	0.3684155673
253	0.3682699961
254	0.3681545245
255	0.3680193763
256	0.3679050171
257	0.367698619
258	0.3676227881
259	0.3674478971
260	0.3673922339
261	0.3672503532
262	0.3670864927
263	0.3668817219
264	0.3667141984
265	0.3666263723
266	0.3665014356
267	0.366370309
268	0.3661807729
269	0.3660654254
270	0.3659205414
271	0.3657593152
272	0.3656390078
273	0.3654762594
274	0.3652442729
275	0.3650123057
276	0.3649216013
277	0.3647468375
278	0.3645480082
279	0.3644062615
280	0.3642497114
281	0.3640962176
282	0.3639302397
283	0.3637965592
284	0.3637238876
285	0.3636013004
286	0.3634380179
287	0.3634113682
288	0.3633658472
289	0.363236968
290	0.3631472936
291	0.3629022464
292	0.362817129
293	0.3627262821
294	0.3625375376
295	0.3624779188
296	0.3624032313
297	0.3622690856
298	0.362202774
299	0.3620424732
300	0.3619169848
301	0.3618183926
302	0.3616298262
303	0.361485981
304	0.3613687768
305	0.3611582904
306	0.3611140385
307	0.3609177521
308	0.3608025504
309	0.3605450089
310	0.360452868
311	0.3603917756
312	0.3602154143
313	0.3599738031
314	0.3598785173
315	0.3597367146
316	0.3596055206
317	0.3594390459
318	0.3591956121
319	0.3590538351
320	0.3589778661
321	0.3588774232
322	0.3586826224
323	0.3585537855
324	0.3583850326
325	0.3582645186
326	0.3581637709
327	0.3579820957
328	0.3578720916
329	0.3576315337
330	0.3575595252
331	0.3574937031
332	0.3574001282
333	0.357267067
334	0.3570792052
335	0.3569131469
336	0.3567621343
337	0.3566003263
338	0.3564785892
339	0.3563526808
340	0.3562054748
341	0.3560779887
342	0.3559907772
343	0.3559179217
344	0.3557620707
345	0.3556105671
346	0.3555286178
347	0.3553474319
348	0.355172724
349	0.3550143839
350	0.3548334624
351	0.3545532693
352	0.3543950198
353	0.3543891183
354	0.3542177453
355	0.3540567556
356	0.3539452813
357	0.3538259387
358	0.3535744138
359	0.3534013905
360	0.3532276959
361	0.353144043
362	0.3529829504
363	0.352841839
364	0.3527238857
365	0.3525934111
366	0.3524017775
367	0.3522631225
368	0.3520712463
369	0.3519389112
370	0.3517722739
371	0.3516827675
372	0.3515693758
